"horizon","model","model_family","n_evaluation","RMSE","MAE","bias","correlation","benchmark_RMSE","benchmark_MAE","relative_RMSE","relative_MAE"
1,"AR(4)","Baseline",90,0.0019314767520052,0.00147561341881384,0.000556197452222955,0.519127313579661,0.00206899663138244,0.00145694992248573,0.933533057864212,1.01280997791349
1,"BorutaRF","FeatureSelection+Tree",90,0.00194691697476759,0.00149662013780926,0.000755591678618124,0.560419947041957,0.00206899663138244,0.00145694992248573,0.940995719972111,1.02722826276406
1,"Ensemble_InvRMSE","Ensemble",90,0.00195455276023526,0.00148998899979772,0.000771328936213748,0.558484215119314,0.00206899663138244,0.00145694992248573,0.944686294114116,1.02267687914463
1,"Ensemble_Mean","Ensemble",90,0.00196504379272878,0.00149871268838471,0.000792928499215621,0.558655625819667,0.00206899663138244,0.00145694992248573,0.949756883565246,1.02866451705336
1,"Ensemble_Median","Ensemble",90,0.0020054613487865,0.00154021137866032,0.000875753509839854,0.556742615832656,0.00206899663138244,0.00145694992248573,0.969291741884816,1.05714778173881
1,"Factor","Factor",90,0.00203313580512492,0.00154648466697926,0.000699206663073903,0.502049165526356,0.00206899663138244,0.00145694992248573,0.982667527963276,1.06145354971485
1,"RW","Baseline",90,0.00206899663138244,0.00145694992248573,4.60792884331478e-05,0.544053011539791,0.00206899663138244,0.00145694992248573,1,1
1,"LASSO","Regularization",90,0.00207310897114259,0.00155973731153906,0.00093911773764106,0.519331177697253,0.00206899663138244,0.00145694992248573,1.00198760099353,1.07054970625068
1,"XGBoost","Boosting",90,0.0020888443750472,0.00156855266563679,0.00096035493909402,0.539878771041102,0.00206899663138244,0.00145694992248573,1.00959293184131,1.07660026019333
1,"RandomForest","Tree",90,0.00209246570196727,0.00161965494875987,0.000926958144694609,0.500564990095963,0.00206899663138244,0.00145694992248573,1.01134321353107,1.11167509861735
1,"ElasticNet","Regularization",90,0.00211458199256579,0.00158694850029173,0.000987756708678398,0.502604922952875,0.00206899663138244,0.00145694992248573,1.02203259323477,1.08922652439845
1,"Ridge","Regularization",90,0.00247558122646766,0.00180305060677989,0.00126509388048438,0.287999291932665,0.00206899663138244,0.00145694992248573,1.1965129323645,1.23755153073735
3,"BorutaRF","FeatureSelection+Tree",90,0.00208317714636842,0.00162069764638599,0.00071502392998916,0.440271205744407,0.00232785260295491,0.00179996770976653,0.894892203966906,0.900403733684871
3,"Ensemble_InvRMSE","Ensemble",90,0.00226603443017469,0.00170751642878995,0.000937060506355461,0.303523789880272,0.00232785260295491,0.00179996770976653,0.973444120687989,0.948637255838013
3,"Ensemble_Mean","Ensemble",90,0.00227612773036201,0.00170882704095416,0.000946034294816709,0.293679596938207,0.00232785260295491,0.00179996770976653,0.977780005260106,0.949365386768972
3,"AR(4)","Baseline",90,0.00229166076901428,0.00173011909987038,0.000888603992222181,0.218754251225864,0.00232785260295491,0.00179996770976653,0.984452695203001,0.961194520592143
3,"RandomForest","Tree",90,0.00229166615154872,0.00177184111343652,0.00102843536008009,0.325386016737969,0.00232785260295491,0.00179996770976653,0.984455007434639,0.984373832831894
3,"RW","Baseline",90,0.00232785260295491,0.00179996770976653,0.000123442495211614,0.41270599852522,0.00232785260295491,0.00179996770976653,1,1
3,"Ensemble_Median","Ensemble",90,0.00241485975895046,0.00180579907220279,0.00108240921535932,0.148927750164509,0.00232785260295491,0.00179996770976653,1.03737657439526,1.00323970391503
3,"XGBoost","Boosting",90,0.00242663273554526,0.00182010133511884,0.00118020717654204,0.197069175595162,0.00232785260295491,0.00179996770976653,1.04243401513694,1.0111855480757
3,"ElasticNet","Regularization",90,0.0025065036447261,0.00188361098434506,0.00114525660402046,0.0456574747726336,0.00232785260295491,0.00179996770976653,1.07674499731831,1.04646931949095
3,"LASSO","Regularization",90,0.00250971259551446,0.00189111998578647,0.00114315612119853,0.0441322508078382,0.00232785260295491,0.00179996770976653,1.07812349988513,1.05064106179536
3,"Ridge","Regularization",90,0.0026806528081643,0.00194606980152193,0.00127077223402325,0.0441255206158055,0.00232785260295491,0.00179996770976653,1.15155607565598,1.08116928485031
3,"Factor","Factor",90,0.00285723246229808,0.00197985392008394,0.00101941074006305,0.0168235021425891,0.00232785260295491,0.00179996770976653,1.22741124531303,1.09993857630965
6,"BorutaRF","FeatureSelection+Tree",90,0.00217128075380247,0.00167773190974772,0.0006474599257295,0.331277058295236,0.0024906392474478,0.00185756402410411,0.871776495141729,0.90318927798835
6,"Ensemble_InvRMSE","Ensemble",90,0.00225747315252061,0.00169014215205502,0.000882551478623178,0.277640611124204,0.0024906392474478,0.00185756402410411,0.906383031919973,0.909870201039323
6,"Ensemble_Mean","Ensemble",90,0.00225848918858965,0.00169064270586707,0.00089740224053025,0.285872452316285,0.0024906392474478,0.00185756402410411,0.906790973804805,0.910139668904526
6,"RandomForest","Tree",90,0.00227492392367279,0.00172944459370124,0.000937618692752335,0.288841969842294,0.0024906392474478,0.00185756402410411,0.913389574987204,0.93102825596299
6,"Ensemble_Median","Ensemble",90,0.0023896973546317,0.00177885506977667,0.00103949784799538,0.108117417761331,0.0024906392474478,0.00185756402410411,0.959471491939455,0.957627864608654
6,"AR(4)","Baseline",90,0.00241674796275422,0.00180046240812348,0.000961513393111015,-0.076650282945384,0.0024906392474478,0.00185756402410411,0.970332401703984,0.969259947307516
6,"Factor","Factor",90,0.00241789826431072,0.00180531736730235,0.00099735032418333,0.0863106030247364,0.0024906392474478,0.00185756402410411,0.970794251631739,0.971873563374511
6,"XGBoost","Boosting",90,0.00244777133582819,0.00184106189953218,0.00112235406681812,0.0467150990005412,0.0024906392474478,0.00185756402410411,0.982788389902901,0.991116255290376
6,"RW","Baseline",90,0.0024906392474478,0.00185756402410411,0.000213989124830722,0.335252129172606,0.0024906392474478,0.00185756402410411,1,1
6,"ElasticNet","Regularization",90,0.00249132597674598,0.00183375324596755,0.00105944584277578,0.0403833171772388,0.0024906392474478,0.00185756402410411,1.00027572411335,0.987181718730777
6,"LASSO","Regularization",90,0.00249150680597936,0.00182558959520296,0.00107678030738856,-0.00703227102357133,0.0024906392474478,0.00185756402410411,1.00034832765622,0.982786903446536
6,"Ridge","Regularization",90,0.00265805465303471,0.00194342837482002,0.00106010848718289,0.129557103143694,0.0024906392474478,0.00185756402410411,1.06721784608448,1.04622416756662
12,"Ensemble_Mean","Ensemble",90,0.00238115180743575,0.00175646473655008,0.000904579433270915,0.0146542727310281,0.00290738013698039,0.00208483937006346,0.819002571128801,0.842494036601302
12,"Ensemble_InvRMSE","Ensemble",90,0.00239353905733619,0.00176573508922861,0.000915191465434105,-0.00879149183046034,0.00290738013698039,0.00208483937006346,0.823263193860202,0.846940591483005
12,"XGBoost","Boosting",90,0.00240121144671906,0.00179775342998654,0.000838749084923002,-0.0579217420655056,0.00290738013698039,0.00208483937006346,0.825902129610393,0.862298293000778
12,"Ensemble_Median","Ensemble",90,0.00243223143093543,0.001780195165248,0.0010764934950874,0.00294732916467721,0.00290738013698039,0.00208483937006346,0.836571523619731,0.853876414082591
12,"LASSO","Regularization",90,0.00243968395549108,0.00178387167533509,0.00112227847981677,0.0387480517894854,0.00290738013698039,0.00208483937006346,0.839134836363344,0.855639864130535
12,"ElasticNet","Regularization",90,0.00244055536448179,0.00178367070019687,0.00112484288345667,0.0386707246929056,0.00290738013698039,0.00208483937006346,0.839434559464436,0.855543465750347
12,"RandomForest","Tree",90,0.00245513595320485,0.00180584972098394,0.000936968036635822,-0.0288251104425609,0.00290738013698039,0.00208483937006346,0.844449586064368,0.86618170536993
12,"Ridge","Regularization",90,0.00245687870303076,0.00178661983494438,0.00112352513372923,0.0302500175499695,0.00290738013698039,0.00208483937006346,0.84504900882431,0.856958027845568
12,"BorutaRF","FeatureSelection+Tree",90,0.00246078375683918,0.00187479343272729,0.000426316228303146,0.0158790192970906,0.00290738013698039,0.00208483937006346,0.846392160949053,0.899250781449999
12,"AR(4)","Baseline",90,0.00251862232519274,0.00183968660211754,0.00115748468570016,-0.091532818973383,0.00290738013698039,0.00208483937006346,0.866285867870235,0.882411675706957
12,"Factor","Factor",90,0.00267250558866766,0.00195661619382931,0.00118120446164678,-0.149801319864631,0.00290738013698039,0.00208483937006346,0.919214365770322,0.938497335538012
12,"RW","Baseline",90,0.00290738013698039,0.00208483937006346,0.000229845905226651,0.0978436626576334,0.00290738013698039,0.00208483937006346,1,1
