"ensemble","horizon","forecast_origin","target_date","member_model","weight","history_count"
"Ensemble_Median",6,2026-05-01,2026-11-01,"LASSO",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"ElasticNet",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"Factor",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"RandomForest",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"XGBoost",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"BorutaRF",,0
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"RW",0.0678957054727066,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"AR(4)",0.123342675753262,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"Ridge",0.0964580284463679,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"LASSO",0.108505218810131,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"ElasticNet",0.108699685138528,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"Factor",0.104015759229235,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"RandomForest",0.127553700670717,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"XGBoost",0.121919714838007,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"BorutaRF",0.141609511641046,90
"Ensemble_Mean",12,2026-05-01,2027-05-01,"RW",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"Factor",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"RW",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"AR(4)",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"Ridge",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"LASSO",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"ElasticNet",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"Factor",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"RandomForest",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"XGBoost",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"BorutaRF",,0
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"RW",0.0647613155491325,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"AR(4)",0.110753630635836,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"Ridge",0.112358346085587,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"LASSO",0.112884742010401,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"ElasticNet",0.112476000845006,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"Factor",0.109331607419604,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"RandomForest",0.124011876210979,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"XGBoost",0.124936644105825,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"BorutaRF",0.128485837137629,90
