"target_code","target_name","track","track_label","horizon","forecast_number","origin_date","seed","selection_source","n_selected","max_runs","feature"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T1YFFM_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T5YFFM_L1"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T5YFFM_L2"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T5YFFM_L3"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"TB6SMFFM_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"TB6SMFFM_L1"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"USFIRE_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"USGOOD_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"VIXCLSx_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"WPSFD49207_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"WPSFD49502_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",33,100,"AAAFFM_L2"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",33,100,"AAAFFM_L3"
