"target_code","target_name","track","track_label","horizon","refresh_count","average_selected","minimum_selected","maximum_selected","boruta_refreshes","fallback_refreshes","mean_pairwise_jaccard","stable_core_count","stability_threshold","stability_basis"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",1,15,40.8,30,51,15,0,0.494236476619362,33,0.6,"rolling_refresh_windows"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",3,15,73.3333333333333,43,93,15,0,0.535098433264425,61,0.6,"rolling_refresh_windows"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",6,15,102.066666666667,77,120,15,0,0.704613289875878,89,0.6,"rolling_refresh_windows"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",12,15,120,104,137,15,0,0.744948854729888,106,0.6,"rolling_refresh_windows"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,15,41.6,27,55,15,0,0.461783604211565,32,0.6,"rolling_refresh_windows"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",3,15,26.5333333333333,13,39,15,0,0.300545758891415,13,0.6,"rolling_refresh_windows"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",6,15,29.8,18,43,15,0,0.264331158991591,12,0.6,"rolling_refresh_windows"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",12,15,31.2,16,44,15,0,0.256449002751269,13,0.6,"rolling_refresh_windows"
