"track","track_label","horizon","loss","model","model_family","n_evaluation","mean_loss","loss_rank","in_mcs","mcs_rank","mcs_stage_p_value","mcs_p_value","mcs_statistic_value","mcs_detail_status","mcs_output_format","mcs_statistic","alpha","confidence_level","bootstrap_samples","block_length","mcs_package_version","mcs_object_class","mcs_status","status_message"
"monthly_transformed","Target-month transformed change",1,"AE","Ridge","Regularization",90,0.00180305060677989,12,TRUE,,0.1496,0.1496,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","BorutaRF","FeatureSelection+Tree",90,4.33962702315168e-06,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","Ensemble_InvRMSE","Ensemble",90,5.13491203873714e-06,2,TRUE,,0.1648,0.9094,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","Ensemble_Mean","Ensemble",90,5.18075744492289e-06,3,TRUE,,0.9094,0.9094,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","AR(4)","Baseline",90,5.25170908023914e-06,4,TRUE,,0.4928,0.9094,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","RandomForest","Tree",90,5.25173375015412e-06,5,TRUE,,0.8928,0.8928,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","RW","Baseline",90,5.41889774108396e-06,6,TRUE,,0.9094,0.9094,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","Ensemble_Median","Ensemble",90,5.83154765539825e-06,7,TRUE,,0.3386,0.5568,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","XGBoost","Boosting",90,5.88854643321985e-06,8,TRUE,,0.4822,0.5568,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",3,"SE","ElasticNet","Regularization",90,6.2825605210252e-06,9,TRUE,,0.2652,0.5568,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",
