"track","track_label","horizon","loss","check_name","passed","critical","observed","expected","message"
"monthly_transformed","Target-month transformed change",1,"SE","loss_matrix_is_finite",TRUE,TRUE,"90 x 12","Finite OOS loss matrix",
"monthly_transformed","Target-month transformed change",1,"SE","model_ids_are_unique",TRUE,TRUE,"12","12",
"monthly_transformed","Target-month transformed change",1,"SE","mcs_procedure_completed",TRUE,TRUE,"SSM","SSM",
"monthly_transformed","Target-month transformed change",1,"SE","official_ssm_slots_available",TRUE,TRUE,"Info, show","show matrix and Info list",
"monthly_transformed","Target-month transformed change",1,"SE","mcs_output_format_recognised",TRUE,TRUE,"Avg.Loss, p-Value for H_{0,M_k}, MCS p-Value","MCS 0.2.0 or legacy SSM columns",
"monthly_transformed","Target-month transformed change",1,"SE","show_ids_resolve_to_models",TRUE,TRUE,"model_10, model_03, model_07, model_08, model_09, model_12, model_02, model_04, model_05, model_06, model_11, model_01","Every SSM row maps to an input model",
"monthly_transformed","Target-month transformed change",1,"SE","show_matrix_model_count_matches_input",TRUE,TRUE,"12","12",
"monthly_transformed","Target-month transformed change",1,"SE","survivor_ids_resolve_to_models",TRUE,TRUE,"model_10, model_03, model_07, model_08, model_09, model_12, model_02, model_04, model_05, model_06, model_11, model_01","Every included model maps to an input model",
"monthly_transformed","Target-month transformed change",1,"SE","survivor_count_matches_info",TRUE,TRUE,"12","12",
"monthly_transformed","Target-month transformed change",1,"SE","membership_matches_info_vectors",TRUE,TRUE,"included=model_10,model_03,model_07,model_08,model_09,model_12,model_02,model_04,model_05,model_06,model_11,model_01; excluded=","Info included/excluded partition all input models",
"monthly_transformed","Target-month transformed change",1,"SE","minimum_mean_loss_model_survives",TRUE,TRUE,"AR(4), BorutaRF, ElasticNet, Ensemble_InvRMSE, Ensemble_Mean, Ensemble_Median, Factor, LASSO, RandomForest, Ridge, RW, XGBoost","AR(4)",
"monthly_transformed","Target-month transformed change",1,"SE","show_average_loss_matches_recalculated_mean_loss",TRUE,TRUE,"Avg.Loss column available","SSM average loss equals column mean of supplied loss matrix",
"monthly_transformed","Target-month transformed change",1,"SE","mcs_020_pvalues_extracted",TRUE,TRUE,"Avg.Loss, p-Value for H_{0,M_k}, MCS p-Value","Finite stage and MCS p-values for every model",
"monthly_transformed","Target-month transformed change",1,"SE","membership_matches_mcs_020_stage_pvalue_rule",TRUE,TRUE,"model_01, model_02, model_03, model_04, model_05, model_06, model_07, model_08, model_09, model_10, model_11, model_12","model_10, model_03, model_07, model_08, model_09, model_12, model_02, model_04, model_05, model_06, model_11, model_01",
"monthly_transformed","Target-month transformed change",1,"SE","singular_final_p_value_not_applicable_in_mcs_020",TRUE,FALSE,"MCS 0.2.0 returns model-level MCS p-values","No singular final p-value required",
"monthly_transformed","Target-month transformed change",1,"SE","mcs_configuration_matches_request",TRUE,TRUE,"alpha=0.1, B=5000, k=7","alpha=0.1, B=5000, k>=3",
"monthly_transformed","Target-month transformed change",1,"AE","loss_matrix_is_finite",TRUE,TRUE,"90 x 12","Finite OOS loss matrix",
"monthly_transformed","Target-month transformed change",1,"AE","model_ids_are_unique",TRUE,TRUE,"12","12",
"monthly_transformed","Target-month transformed change",1,"AE","mcs_procedure_completed",TRUE,TRUE,"SSM","SSM",
"monthly_transformed","Target-month transformed change",1,"AE","official_ssm_slots_available",TRUE,TRUE,"Info, show","show matrix and Info list",
"monthly_transformed","Target-month transformed change",1,"AE","mcs_output_format_recognised",TRUE,TRUE,"Avg.Loss, p-Value for H_{0,M_k}, MCS p-Value","MCS 0.2.0 or legacy SSM columns",
"monthly_transformed","Target-month transformed change",1,"AE","show_ids_resolve_to_models",TRUE,TRUE,"model_10, model_03, model_09, model_07, model_08, model_06, model_12, model_05, model_01, model_02, model_04, model_11","Every SSM row maps to an input model",
"monthly_transformed","Target-month transformed change",1,"AE","show_matrix_model_count_matches_input",TRUE,TRUE,"12","12",
"monthly_transformed","Target-month transformed change",1,"AE","survivor_ids_resolve_to_models",TRUE,TRUE,"model_10, model_03, model_09, model_07, model_08, model_06, model_12, model_05, model_01, model_02, model_04, model_11","Every included model maps to an input model",
"monthly_transformed","Target-month transformed change",1,"AE","survivor_count_matches_info",TRUE,TRUE,"12","12",
"monthly_transformed","Target-month transformed change",1,"AE","membership_matches_info_vectors",TRUE,TRUE,"included=model_10,model_03,model_09,model_07,model_08,model_06,model_12,model_05,model_01,model_02,model_04,model_11; excluded=","Info included/excluded partition all input models",
"monthly_transformed","Target-month transformed change",1,"AE","minimum_mean_loss_model_survives",TRUE,TRUE,"AR(4), BorutaRF, ElasticNet, Ensemble_InvRMSE, Ensemble_Mean, Ensemble_Median, Factor, LASSO, RandomForest, Ridge, RW, XGBoost","RW",
"monthly_transformed","Target-month transformed change",1,"AE","show_average_loss_matches_recalculated_mean_loss",TRUE,TRUE,"Avg.Loss column available","SSM average loss equals column mean of supplied loss matrix",
"monthly_transformed","Target-month transformed change",1,"AE","mcs_020_pvalues_extracted",TRUE,TRUE,"Avg.Loss, p-Value for H_{0,M_k}, MCS p-Value","Finite stage and MCS p-values for every model",
"monthly_transformed","Target-month transformed change",1,"AE","membership_matches_mcs_020_stage_pvalue_rule",TRUE,TRUE,"model_01, model_02, model_03, model_04, model_05, model_06, model_07, model_08, model_09, model_10, model_11, model_12","model_10, model_03, model_09, model_07, model_08, model_06, model_12, model_05, model_01, model_02, model_04, model_11",
