"target_code","target_name","track","track_label","horizon","feature","selection_source","last_refresh","last_seed","mean_importance","median_importance","minimum_importance","maximum_importance","normalized_hits","boruta_decision","selection_frequency","stable_core"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"HOUSTS_L2","boruta_confirmed",85,21161801,0.128152681599347,0.130622499797547,0.0513936641937347,0.199411829388292,0.585858585858586,"Confirmed",0.933333333333333,TRUE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"HWIURATIO_L0","boruta_confirmed",85,21161801,0.154335585517527,0.153546298605204,0.0393490630896161,0.270468540875894,0.767676767676768,"Confirmed",0.533333333333333,FALSE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"HWIURATIO_L2","boruta_confirmed",85,21161801,0.219240377315663,0.227863424742029,0.0813149121050335,0.301286887959954,0.97979797979798,"Confirmed",0.533333333333333,FALSE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"NDMANEMP_L0","boruta_confirmed",85,21161801,0.118164329734835,0.121997744580581,-0.010479547710559,0.229373890007676,0.565656565656566,"Confirmed",0.6,TRUE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"PAYEMS_L0","boruta_confirmed",85,21161801,0.130412266335001,0.137546219023136,0.00594546360322067,0.204211676884205,0.646464646464647,"Confirmed",0.333333333333333,FALSE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"PAYEMS_L1","boruta_confirmed",85,21161801,0.117264589939989,0.117690417230529,-0.0288229809768998,0.205687454886592,0.525252525252525,"Confirmed",0.2,FALSE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"PAYEMS_L2","boruta_confirmed",85,21161801,0.149751110999317,0.149527739226365,0.00935823217594705,0.248986226709187,0.777777777777778,"Confirmed",0.533333333333333,FALSE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"PC1_L0","boruta_confirmed",85,21161801,0.144105416634974,0.149721315730921,0.0359942705532714,0.236015717514007,0.787878787878788,"Confirmed",0.8,TRUE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"PC3_L0","boruta_confirmed",85,21161801,0.267231269401212,0.270710082253821,0.145150938057446,0.361374023247325,1,"Confirmed",0.933333333333333,TRUE
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,"PC4_L0","boruta_confirmed",85,21161801,0.178048823375877,0.184375703292759,0.0356232192701276,0.27436060432473,0.898989898989899,"Confirmed",0.8,TRUE
