"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"RW",1,"Baseline",90,0.0188318610135885,0.0082239894901359,-0.000152718933059129,,"cumulative_log_change",1.73813814174184,0.79401111111111,-0.0157844444444455,0.81424966079148,9.3966391054335,0.0188318610135885,0.0082239894901359,-0.000152718933059129,
"BorutaRF",1,"FeatureSelection+Tree",90,0.019135374622434,0.00788974102345902,-0.00131075478057931,0.113117261104642,"cumulative_log_change",1.74508577736901,0.754380093216869,-0.138121728802888,0.77941732500988,8.81260278176818,0.019135374622434,0.00788974102345902,-0.00131075478057931,0.113117261104642
"RandomForest",1,"Tree",90,0.0202337288342341,0.00874512846675791,-0.000143404950138902,-0.0346256886175004,"cumulative_log_change",1.83485710378745,0.834358983541664,-0.0275573494389339,0.864247886923142,9.77055149750605,0.0202337288342341,0.00874512846675791,-0.000143404950138902,-0.0346256886175004
"Ensemble_Median",1,"Ensemble",90,0.0209613310459014,0.00892451026273837,-0.000263278833381706,-0.0635134924283346,"cumulative_log_change",1.88895235545885,0.848498604869668,-0.0435276576041409,0.881204559457807,9.88970504058879,0.0209613310459014,0.00892451026273837,-0.000263278833381706,-0.0635134924283346
"XGBoost",1,"Boosting",90,0.0214019292378082,0.00921930845513839,-0.000401691982887264,-0.125629771406345,"cumulative_log_change",1.935295827742,0.878138857928626,-0.0574720292169927,0.910702773277014,10.2460398759968,0.0214019292378082,0.00921930845513839,-0.000401691982887264,-0.125629771406345
"Ensemble_Mean",1,"Ensemble",90,0.0230137022336559,0.00944720212981932,0.000174968970770413,-0.0767157169964961,"cumulative_log_change",2.03345502388279,0.890516911394095,-0.00997673627175841,0.929946887982054,10.1970918574836,0.0230137022336559,0.00944720212981932,0.000174968970770413,-0.0767157169964961
"Ensemble_InvRMSE",1,"Ensemble",90,0.0232240240131773,0.00945943838575183,0.000265142230321075,-0.0760184391535312,"cumulative_log_change",2.04747258368179,0.890811440560654,-0.00182764198012014,0.930727293709858,10.174979714142,0.0232240240131773,0.00945943838575183,0.000265142230321075,-0.0760184391535312
"AR(4)",1,"Baseline",90,0.0229340208732075,0.0105235885757875,0.000796435664880366,-0.207024700385684,"cumulative_log_change",2.07740512227644,1.00083333261122,0.0546634842661642,1.04003637717968,11.6705856442433,0.0229340208732075,0.0105235885757875,0.000796435664880366,-0.207024700385684
"ElasticNet",1,"Regularization",90,0.0265078399868899,0.010284876415697,0.00025305551789499,-0.141354549649072,"cumulative_log_change",2.29300012991806,0.960569674323023,-0.0155478587336653,1.00822615900224,10.7392122905443,0.0265078399868899,0.010284876415697,0.00025305551789499,-0.141354549649072
"LASSO",1,"Regularization",90,0.0266609397678549,0.0104112871994007,0.000110030958877561,-0.142493917783519,"cumulative_log_change",2.30648040167989,0.972879350212712,-0.0301426125918667,1.02077857083863,10.8814795406379,0.0266609397678549,0.0104112871994007,0.000110030958877561,-0.142493917783519
