"horizon","model","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation","benchmark_target_response_RMSE","benchmark_target_response_MAE","benchmark_level_RMSE","benchmark_level_MAE","relative_target_response_RMSE","relative_target_response_MAE","relative_level_RMSE","relative_level_MAE","relative_cumulative_log_RMSE","relative_cumulative_log_MAE"
1,"RW","Baseline",90,0.0188318610135885,0.0082239894901359,-0.000152718933059129,,"cumulative_log_change",1.73813814174184,0.79401111111111,-0.0157844444444455,0.81424966079148,9.3966391054335,0.0188318610135885,0.0082239894901359,-0.000152718933059129,,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1,1,1,1,1,1
1,"BorutaRF","FeatureSelection+Tree",90,0.019135374622434,0.00788974102345902,-0.00131075478057931,0.113117261104642,"cumulative_log_change",1.74508577736901,0.754380093216869,-0.138121728802888,0.77941732500988,8.81260278176818,0.019135374622434,0.00788974102345902,-0.00131075478057931,0.113117261104642,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.01611702681039,0.959356895205448,1.00399717114557,0.950087577692984,1.01611702681039,0.959356895205448
1,"RandomForest","Tree",90,0.0202337288342341,0.00874512846675791,-0.000143404950138902,-0.0346256886175004,"cumulative_log_change",1.83485710378745,0.834358983541664,-0.0275573494389339,0.864247886923142,9.77055149750605,0.0202337288342341,0.00874512846675791,-0.000143404950138902,-0.0346256886175004,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.07444127904481,1.06336814720484,1.05564515254736,1.05081524913939,1.07444127904481,1.06336814720484
1,"Ensemble_Median","Ensemble",90,0.0209613310459014,0.00892451026273837,-0.000263278833381706,-0.0635134924283346,"cumulative_log_change",1.88895235545885,0.848498604869668,-0.0435276576041409,0.881204559457807,9.88970504058879,0.0209613310459014,0.00892451026273837,-0.000263278833381706,-0.0635134924283346,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.11307804527531,1.08518016389037,1.08676767979205,1.06862308725417,1.11307804527531,1.08518016389037
1,"XGBoost","Boosting",90,0.0214019292378082,0.00921930845513839,-0.000401691982887264,-0.125629771406345,"cumulative_log_change",1.935295827742,0.878138857928626,-0.0574720292169927,0.910702773277014,10.2460398759968,0.0214019292378082,0.00921930845513839,-0.000401691982887264,-0.125629771406345,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.13647446858095,1.12102629340618,1.11343038925697,1.10595285839236,1.13647446858095,1.12102629340618
1,"Ensemble_Mean","Ensemble",90,0.0230137022336559,0.00944720212981932,0.000174968970770413,-0.0767157169964961,"cumulative_log_change",2.03345502388279,0.890516911394095,-0.00997673627175841,0.929946887982054,10.1970918574836,0.0230137022336559,0.00944720212981932,0.000174968970770413,-0.0767157169964961,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.22206202653312,1.14873713556548,1.16990414918633,1.12154212823035,1.22206202653312,1.14873713556548
1,"Ensemble_InvRMSE","Ensemble",90,0.0232240240131773,0.00945943838575183,0.000265142230321075,-0.0760184391535312,"cumulative_log_change",2.04747258368179,0.890811440560654,-0.00182764198012014,0.930727293709858,10.174979714142,0.0232240240131773,0.00945943838575183,0.000265142230321075,-0.0760184391535312,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.23323042775324,1.15022500905403,1.17796884753358,1.1219130665742,1.23323042775324,1.15022500905403
1,"AR(4)","Baseline",90,0.0229340208732075,0.0105235885757875,0.000796435664880366,-0.207024700385684,"cumulative_log_change",2.07740512227644,1.00083333261122,0.0546634842661642,1.04003637717968,11.6705856442433,0.0229340208732075,0.0105235885757875,0.000796435664880366,-0.207024700385684,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.21783082705735,1.27962086872919,1.19518988300586,1.26047774219518,1.21783082705735,1.27962086872919
1,"ElasticNet","Regularization",90,0.0265078399868899,0.010284876415697,0.00025305551789499,-0.141354549649072,"cumulative_log_change",2.29300012991806,0.960569674323023,-0.0155478587336653,1.00822615900224,10.7392122905443,0.0265078399868899,0.010284876415697,0.00025305551789499,-0.141354549649072,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.40760596989128,1.2505945475773,1.319227784519,1.20976855472317,1.40760596989128,1.2505945475773
1,"LASSO","Regularization",90,0.0266609397678549,0.0104112871994007,0.000110030958877561,-0.142493917783519,"cumulative_log_change",2.30648040167989,0.972879350212712,-0.0301426125918667,1.02077857083863,10.8814795406379,0.0266609397678549,0.0104112871994007,0.000110030958877561,-0.142493917783519,0.0188318610135885,0.0082239894901359,1.73813814174184,0.79401111111111,1.41573579736051,1.26596552827412,1.32698336587246,1.22527170791263,1.41573579736051,1.26596552827412
