"ensemble","horizon","forecast_origin","target_date","member_model","weight","history_count"
"Ensemble_Median",6,2026-05-01,2026-11-01,"LASSO",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"ElasticNet",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"Factor",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"RandomForest",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"XGBoost",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"BorutaRF",,0
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"RW",0.135922660757281,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"AR(4)",0.0904522555538896,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"Ridge",0.117999996783611,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"LASSO",0.107202530356571,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"ElasticNet",0.108451481074167,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"Factor",0.0708846035948976,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"RandomForest",0.118814890965314,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"XGBoost",0.131070155707055,90
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"BorutaRF",0.119201425207213,90
"Ensemble_Mean",12,2026-05-01,2027-05-01,"RW",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"Factor",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"RW",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"AR(4)",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"Ridge",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"LASSO",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"ElasticNet",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"Factor",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"RandomForest",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"XGBoost",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"BorutaRF",,0
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"RW",0.131593823873244,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"AR(4)",0.0859665772690218,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"Ridge",0.119150230113454,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"LASSO",0.121727283253647,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"ElasticNet",0.121727283253647,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"Factor",0.0785409064105176,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"RandomForest",0.111246070345257,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"XGBoost",0.118566404317209,90
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"BorutaRF",0.111481421164003,90
