"track","track_label","horizon","loss","benchmark_model","model","model_family","n_evaluation","mean_model_loss","mean_benchmark_loss","mean_loss_difference","relative_loss","dm_statistic","dm_p_value","dm_p_value_adjusted","p_adjust_method","significance_level","significant_better","significant_worse","conclusion","dm_test_status","status_message","target_code","target_name"
"monthly_transformed","Target-month transformed change",1,"AE","RW","ElasticNet","Regularization",88,0.00192722442570038,0.00197267616587168,-4.54517401713e-05,0.976959350471386,-0.232775145317836,0.816482765004581,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"AE","RW","BorutaRF","FeatureSelection+Tree",88,0.00194124883648136,0.00197267616587168,-3.1427329390323e-05,0.984068682972891,-0.157092687058047,0.875535800888958,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"AE","RW","RandomForest","Tree",88,0.00200890841513588,0.00197267616587168,3.6232249264195e-05,1.0183670537978,0.176818436925346,0.860061988217339,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"AE","RW","XGBoost","Boosting",88,0.00204795639931875,0.00197267616587168,7.52802334470706e-05,1.03816147563876,0.361798447699243,0.718379906061365,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"AE","RW","Factor","Factor",88,0.00206120265283406,0.00197267616587168,8.85264869623781e-05,1.04487634032079,0.402754168831176,0.688117043807462,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"AE","RW","Ridge","Regularization",88,0.00213294445661088,0.00197267616587168,0.000160268290739203,1.08124409546378,0.67378757818426,0.502232595989639,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","Ensemble_Mean","Ensemble",88,1.03214726877914e-05,1.30596199640384e-05,-2.73814727624701e-06,0.790334842530877,-1.03171481439658,0.305065337254906,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","XGBoost","Boosting",88,1.03299051578821e-05,1.30596199640384e-05,-2.72971480615625e-06,0.790980532842998,-0.754536929363299,0.452564477033513,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","Ensemble_InvRMSE","Ensemble",88,1.03747624090358e-05,1.30596199640384e-05,-2.68485755500259e-06,0.794415338088264,-1.0031508366777,0.318570062603012,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","AR(4)","Baseline",88,1.04724875970369e-05,1.30596199640384e-05,-2.58713236700154e-06,0.801898342055466,-0.67577694217369,0.500974665165628,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","RandomForest","Tree",88,1.05812291418764e-05,1.30596199640384e-05,-2.47839082216202e-06,0.810224889469477,-0.853413580119499,0.395773572391114,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","BorutaRF","FeatureSelection+Tree",88,1.06833213520861e-05,1.30596199640384e-05,-2.37629861195231e-06,0.818042284653321,-0.741945854946244,0.460118479000323,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","Ensemble_Median","Ensemble",88,1.11625345780952e-05,1.30596199640384e-05,-1.89708538594323e-06,0.854736555032448,-0.611949484955013,0.542167163511603,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","ElasticNet","Regularization",88,1.11696206445945e-05,1.30596199640384e-05,-1.88999931944385e-06,0.855279148654536,-0.598165447355451,0.551283596561351,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","LASSO","Regularization",88,1.12780845426909e-05,1.30596199640384e-05,-1.78153542134752e-06,0.863584436128062,-0.573689603189362,0.56765798885586,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","Ridge","Regularization",88,1.36581589945476e-05,1.30596199640384e-05,5.98539030509167e-07,1.0458312747352,0.215481493739448,0.829896303862774,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","Factor","Factor",88,1.71157944757919e-05,1.30596199640384e-05,4.05617451175353e-06,1.31058901583069,0.814185624387469,0.417761583578998,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","XGBoost","Boosting",88,0.00225615505961711,0.00278362546399798,-0.000527470404380867,0.810509563444183,-1.635848151746,0.105484310684846,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","Ensemble_Mean","Ensemble",88,0.00226058472654797,0.00278362546399798,-0.000523040737450009,0.81210089352366,-1.96358108360508,0.0527722679562563,0.580494947518819,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","Ensemble_InvRMSE","Ensemble",88,0.00227427140107059,0.00278362546399798,-0.000509354062927383,0.817017745556967,-1.900250945761,0.0607121753620426,0.607121753620426,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","AR(4)","Baseline",88,0.00228590936750406,0.00278362546399798,-0.000497716096493919,0.821198612050676,-1.41360371189886,0.16104652263038,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","ElasticNet","Regularization",88,0.00230910608048187,0.00278362546399798,-0.000474519383516105,0.829531885789485,-1.54444838248838,0.12610961969724,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","Ensemble_Median","Ensemble",88,0.00231063166968701,0.00278362546399798,-0.000472993794310966,0.830079944148941,-1.57676688744047,0.118478628403729,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","LASSO","Regularization",88,0.00231347408311868,0.00278362546399798,-0.000470151380879298,0.83110106335784,-1.54332452001638,0.12638183372411,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","RandomForest","Tree",88,0.00241684487198059,0.00278362546399798,-0.000366780592017392,0.868236371321807,-1.29723740357068,0.197979040020541,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","BorutaRF","FeatureSelection+Tree",88,0.00241787620504805,0.00278362546399798,-0.000365749258949932,0.868606871261831,-1.18743568555136,0.238287756342793,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","Ridge","Regularization",88,0.00245232285202469,0.00278362546399798,-0.000331302611973293,0.880981613274417,-1.18383475318292,0.239702949969526,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","Factor","Factor",88,0.0025660291435847,0.00278362546399798,-0.000217596320413277,0.921829885799092,-0.701296569420821,0.484989615707583,0.949358796163616,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","RandomForest","Tree",88,9.61758567926376e-06,1.34109719090738e-05,-3.79338622981009e-06,0.717143078404072,-1.05896915545613,0.292545136173126,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","Ensemble_Mean","Ensemble",88,9.69492286223216e-06,1.34109719090738e-05,-3.71604904684169e-06,0.722909788191607,-1.05862251080206,0.292702143114407,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","Ensemble_InvRMSE","Ensemble",88,9.73311878133621e-06,1.34109719090738e-05,-3.67785312773764e-06,0.725757897885894,-1.04798610449836,0.297547712959936,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
