"target_code","target_name","horizon","rolling_months","window_start","window_end","n_tied_winners","winner_set"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-04-01,2024-03-01,1,"Ridge"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-05-01,2024-04-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-06-01,2024-05-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-07-01,2024-06-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-08-01,2024-07-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-09-01,2024-08-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-10-01,2024-09-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-11-01,2024-10-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2023-12-01,2024-11-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-01-01,2024-12-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-02-01,2025-01-01,1,"Factor"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-03-01,2025-02-01,1,"Factor"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-04-01,2025-03-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-05-01,2025-04-01,1,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-06-01,2025-05-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-07-01,2025-06-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-08-01,2025-07-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-09-01,2025-08-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-10-01,2025-09-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-11-01,2025-12-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2024-12-01,2026-01-01,1,"RandomForest"
