"release_protocol_version","target_code","target_display_name","run_id","execution_profile","result_path","published_at","data_md5","oos_start","oos_end","window_size","npred","horizons","primary_evaluation_track","primary_inference","supplementary_inference","mcs_bootstrap_samples","base_models","validation_status"
"1.0","CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","CPIAUCSL_20260721_234514_FULL_644","full","results/experiments/CPIAUCSL/CPIAUCSL_20260721_234514_FULL_644/results/forecast_project_results.rds","2026-07-22T13:04:18+0900","8591dd9f169f7aeb45b7c91782fbd947","2018-12-01","2026-05-01",360,90,"1,3,6,12","monthly_transformed","DM,MCS","HAC_POST_SELECTION_MAE",5000,"RW,AR,Ridge,LASSO,ElasticNet,Factor,RandomForest,XGBoost,BorutaRF","passed"
"1.0","PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","PCEPI_20260722_010003_FULL_507","full","results/experiments/PCEPI/PCEPI_20260722_010003_FULL_507/results/forecast_project_results.rds","2026-07-22T13:08:20+0900","8591dd9f169f7aeb45b7c91782fbd947","2018-12-01","2026-05-01",360,90,"1,3,6,12","monthly_transformed","DM,MCS","HAC_POST_SELECTION_MAE",5000,"RW,AR,Ridge,LASSO,ElasticNet,Factor,RandomForest,XGBoost,BorutaRF","passed"
"1.0","INDPRO","Industrial Production Index [INDPRO]","INDPRO_20260722_082341_FULL_529","full","results/experiments/INDPRO/INDPRO_20260722_082341_FULL_529/results/forecast_project_results.rds","2026-07-22T13:08:40+0900","8591dd9f169f7aeb45b7c91782fbd947","2018-12-01","2026-05-01",360,90,"1,3,6,12","monthly_transformed","DM,MCS","HAC_POST_SELECTION_MAE",5000,"RW,AR,Ridge,LASSO,ElasticNet,Factor,RandomForest,XGBoost,BorutaRF","passed"
"1.0","UNRATE","Civilian Unemployment Rate [UNRATE]","UNRATE_20260722_092406_FULL_161","full","results/experiments/UNRATE/UNRATE_20260722_092406_FULL_161/results/forecast_project_results.rds","2026-07-22T13:09:02+0900","8591dd9f169f7aeb45b7c91782fbd947","2018-12-01","2026-05-01",360,90,"1,3,6,12","monthly_transformed","DM,MCS","HAC_POST_SELECTION_MAE",5000,"RW,AR,Ridge,LASSO,ElasticNet,Factor,RandomForest,XGBoost,BorutaRF","passed"
