"target_code","target_name","track","track_label","horizon","date_order_check","selected_state_present","selected_features_used","refresh_history_available","refresh_count","fallback_refreshes","random_forest_comparison_available","audit_status","audit_note"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,TRUE,TRUE,TRUE,TRUE,15,0,TRUE,"PASS","Training-window chronology, selected-state use, refresh history, and RF comparison are available."
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",3,TRUE,TRUE,TRUE,TRUE,15,1,TRUE,"WARN","Core checks passed, but at least one refresh used the configured variance fallback."
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",6,TRUE,TRUE,TRUE,TRUE,15,0,TRUE,"PASS","Training-window chronology, selected-state use, refresh history, and RF comparison are available."
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",12,TRUE,TRUE,TRUE,TRUE,15,0,TRUE,"PASS","Training-window chronology, selected-state use, refresh history, and RF comparison are available."
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",1,TRUE,TRUE,TRUE,TRUE,15,0,TRUE,"PASS","Training-window chronology, selected-state use, refresh history, and RF comparison are available."
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",3,TRUE,TRUE,TRUE,TRUE,15,0,TRUE,"PASS","Training-window chronology, selected-state use, refresh history, and RF comparison are available."
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",6,TRUE,TRUE,TRUE,TRUE,15,0,TRUE,"PASS","Training-window chronology, selected-state use, refresh history, and RF comparison are available."
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",12,TRUE,TRUE,TRUE,TRUE,15,0,TRUE,"PASS","Training-window chronology, selected-state use, refresh history, and RF comparison are available."
