"ensemble","horizon","forecast_origin","target_date","member_model","weight","history_count"
"Ensemble_Median",6,2026-05-01,2026-11-01,"LASSO",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"ElasticNet",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"Factor",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"RandomForest",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"XGBoost",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"BorutaRF",,0
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"RW",0.133002056129731,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"AR(4)",0.0904822402931342,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"Ridge",0.111271318441339,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"LASSO",0.100803007005324,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"ElasticNet",0.102905968584402,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"Factor",0.0920953698364502,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"RandomForest",0.121748338310954,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"XGBoost",0.127208684105191,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"BorutaRF",0.120483017293475,87
"Ensemble_Mean",12,2026-05-01,2027-05-01,"RW",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"Factor",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"RW",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"AR(4)",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"Ridge",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"LASSO",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"ElasticNet",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"Factor",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"RandomForest",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"XGBoost",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"BorutaRF",,0
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"RW",0.132516636839514,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"AR(4)",0.08209805953822,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"Ridge",0.107058009281408,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"LASSO",0.117483503498319,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"ElasticNet",0.113185619622075,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"Factor",0.0847334358777767,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"RandomForest",0.118092180392514,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"XGBoost",0.127130739124592,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"BorutaRF",0.117701815825581,89
