"target_code","target_name","track","track_label","horizon","forecast_number","origin_date","seed","selection_source","n_selected","max_runs","feature"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"AMDMNOx_L2"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"BAAFFM_L0"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"CLAIMSx_L2"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"COMPAPFFx_L0"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"COMPAPFFx_L2"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"COMPAPFFx_L3"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"DMANEMP_L0"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"DMANEMP_L2"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"DMANEMP_L3"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"HWI_L1"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"HWIURATIO_L0"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"IPDMAT_L1"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"MANEMP_L0"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"MANEMP_L2"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"PAYEMS_L0"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"PAYEMS_L1"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"PAYEMS_L2"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"PC1_L0"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"PC1_L1"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",37,100,"PC1_L2"
