"target_code","target_name","track","track_label","horizon","feature","selection_source","last_refresh","last_seed","mean_importance","median_importance","minimum_importance","maximum_importance","normalized_hits","boruta_decision","selection_frequency","stable_core"
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"BUSINVx_L0","boruta_confirmed",85,21161801,0.0957666569761778,0.101607079527663,0.00866541859483645,0.186260381864747,0.494949494949495,"Confirmed",0.466666666666667,FALSE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"M2SL_L1","boruta_confirmed",85,21161801,0.0967573482278159,0.0970620448837895,-0.0325905652031743,0.21698046091634,0.505050505050505,"Confirmed",0.0666666666666667,FALSE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"NDMANEMP_L0","boruta_confirmed",85,21161801,0.130028212321163,0.1336648836018,0.0416095223976297,0.201777914935314,0.767676767676768,"Confirmed",0.733333333333333,TRUE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"NDMANEMP_L1","boruta_confirmed",85,21161801,0.107836903851134,0.115820379922921,-0.0380513351803036,0.179119388744076,0.646464646464647,"Confirmed",0.333333333333333,FALSE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"PAYEMS_L1","boruta_confirmed",85,21161801,0.118428755893363,0.120129499381755,0.00575084077318628,0.212028780268568,0.717171717171717,"Confirmed",1,TRUE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"PC1_L1","boruta_confirmed",85,21161801,0.0964402678945957,0.0987150696682364,-0.00249144501152176,0.150113277706917,0.525252525252525,"Confirmed",0.733333333333333,TRUE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"SRVPRD_L1","boruta_confirmed",85,21161801,0.113417454373191,0.120900635648161,0.0308220503511411,0.163950518208589,0.656565656565657,"Confirmed",0.933333333333333,TRUE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"USGOOD_L0","boruta_confirmed",85,21161801,0.148423607487621,0.155901003915324,0.0197735991125439,0.225381731662877,0.787878787878788,"Confirmed",1,TRUE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"USTPU_L0","boruta_confirmed",85,21161801,0.118469497848765,0.120921666189937,-0.0246525003565468,0.189285626251142,0.747474747474748,"Confirmed",1,TRUE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",1,"USTRADE_L0","boruta_confirmed",85,21161801,0.151924824323827,0.159604548365859,-0.0280288687676025,0.239035095050436,0.808080808080808,"Confirmed",1,TRUE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",3,"CUMFNS_L0","boruta_confirmed",85,21163801,0.109951295483667,0.108872456398762,0.017771473362241,0.199104809196208,0.575757575757576,"Confirmed",0.333333333333333,FALSE
"UNRATE","Civilian Unemployment Rate [UNRATE]","monthly_transformed","Target-month transformed change",3,"DMANEMP_L0","boruta_confirmed",85,21163801,0.093047784077893,0.0951794035183194,-0.0362499442650892,0.202339520099861,0.515151515151515,"Confirmed",0.6,TRUE
