"ensemble","horizon","forecast_number","target_date","member_model","weight","history_count"
"Ensemble_Mean",1,4,2019-03-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,4,2019-03-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,4,2019-03-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,4,2019-03-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,4,2019-03-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,4,2019-03-01,"RW",,0
"Ensemble_Median",1,4,2019-03-01,"AR(4)",,0
"Ensemble_Median",1,4,2019-03-01,"Ridge",,0
"Ensemble_Median",1,4,2019-03-01,"LASSO",,0
"Ensemble_Median",1,4,2019-03-01,"ElasticNet",,0
"Ensemble_Median",1,4,2019-03-01,"Factor",,0
"Ensemble_Median",1,4,2019-03-01,"RandomForest",,0
"Ensemble_Median",1,4,2019-03-01,"XGBoost",,0
"Ensemble_Median",1,4,2019-03-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,4,2019-03-01,"RW",0.111111111111111,3
"Ensemble_InvRMSE",1,4,2019-03-01,"AR(4)",0.111111111111111,3
"Ensemble_InvRMSE",1,4,2019-03-01,"Ridge",0.111111111111111,3
"Ensemble_InvRMSE",1,4,2019-03-01,"LASSO",0.111111111111111,3
"Ensemble_InvRMSE",1,4,2019-03-01,"ElasticNet",0.111111111111111,3
"Ensemble_InvRMSE",1,4,2019-03-01,"Factor",0.111111111111111,3
"Ensemble_InvRMSE",1,4,2019-03-01,"RandomForest",0.111111111111111,3
"Ensemble_InvRMSE",1,4,2019-03-01,"XGBoost",0.111111111111111,3
"Ensemble_InvRMSE",1,4,2019-03-01,"BorutaRF",0.111111111111111,3
"Ensemble_Mean",1,5,2019-04-01,"RW",0.111111111111111,0
"Ensemble_Mean",1,5,2019-04-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",1,5,2019-04-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",1,5,2019-04-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",1,5,2019-04-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,5,2019-04-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,5,2019-04-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,5,2019-04-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,5,2019-04-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,5,2019-04-01,"RW",,0
"Ensemble_Median",1,5,2019-04-01,"AR(4)",,0
"Ensemble_Median",1,5,2019-04-01,"Ridge",,0
"Ensemble_Median",1,5,2019-04-01,"LASSO",,0
"Ensemble_Median",1,5,2019-04-01,"ElasticNet",,0
"Ensemble_Median",1,5,2019-04-01,"Factor",,0
"Ensemble_Median",1,5,2019-04-01,"RandomForest",,0
"Ensemble_Median",1,5,2019-04-01,"XGBoost",,0
"Ensemble_Median",1,5,2019-04-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,5,2019-04-01,"RW",0.111111111111111,4
"Ensemble_InvRMSE",1,5,2019-04-01,"AR(4)",0.111111111111111,4
"Ensemble_InvRMSE",1,5,2019-04-01,"Ridge",0.111111111111111,4
"Ensemble_InvRMSE",1,5,2019-04-01,"LASSO",0.111111111111111,4
"Ensemble_InvRMSE",1,5,2019-04-01,"ElasticNet",0.111111111111111,4
"Ensemble_InvRMSE",1,5,2019-04-01,"Factor",0.111111111111111,4
"Ensemble_InvRMSE",1,5,2019-04-01,"RandomForest",0.111111111111111,4
"Ensemble_InvRMSE",1,5,2019-04-01,"XGBoost",0.111111111111111,4
"Ensemble_InvRMSE",1,5,2019-04-01,"BorutaRF",0.111111111111111,4
"Ensemble_Mean",1,6,2019-05-01,"RW",0.111111111111111,0
"Ensemble_Mean",1,6,2019-05-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",1,6,2019-05-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",1,6,2019-05-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",1,6,2019-05-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,6,2019-05-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,6,2019-05-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,6,2019-05-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,6,2019-05-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,6,2019-05-01,"RW",,0
"Ensemble_Median",1,6,2019-05-01,"AR(4)",,0
"Ensemble_Median",1,6,2019-05-01,"Ridge",,0
"Ensemble_Median",1,6,2019-05-01,"LASSO",,0
"Ensemble_Median",1,6,2019-05-01,"ElasticNet",,0
"Ensemble_Median",1,6,2019-05-01,"Factor",,0
"Ensemble_Median",1,6,2019-05-01,"RandomForest",,0
"Ensemble_Median",1,6,2019-05-01,"XGBoost",,0
"Ensemble_Median",1,6,2019-05-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,6,2019-05-01,"RW",0.111111111111111,5
"Ensemble_InvRMSE",1,6,2019-05-01,"AR(4)",0.111111111111111,5
"Ensemble_InvRMSE",1,6,2019-05-01,"Ridge",0.111111111111111,5
"Ensemble_InvRMSE",1,6,2019-05-01,"LASSO",0.111111111111111,5
"Ensemble_InvRMSE",1,6,2019-05-01,"ElasticNet",0.111111111111111,5
"Ensemble_InvRMSE",1,6,2019-05-01,"Factor",0.111111111111111,5
"Ensemble_InvRMSE",1,6,2019-05-01,"RandomForest",0.111111111111111,5
"Ensemble_InvRMSE",1,6,2019-05-01,"XGBoost",0.111111111111111,5
"Ensemble_InvRMSE",1,6,2019-05-01,"BorutaRF",0.111111111111111,5
"Ensemble_Mean",1,7,2019-06-01,"RW",0.111111111111111,0
"Ensemble_Mean",1,7,2019-06-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",1,7,2019-06-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",1,7,2019-06-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",1,7,2019-06-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,7,2019-06-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,7,2019-06-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,7,2019-06-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,7,2019-06-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,7,2019-06-01,"RW",,0
"Ensemble_Median",1,7,2019-06-01,"AR(4)",,0
"Ensemble_Median",1,7,2019-06-01,"Ridge",,0
"Ensemble_Median",1,7,2019-06-01,"LASSO",,0
"Ensemble_Median",1,7,2019-06-01,"ElasticNet",,0
"Ensemble_Median",1,7,2019-06-01,"Factor",,0
"Ensemble_Median",1,7,2019-06-01,"RandomForest",,0
"Ensemble_Median",1,7,2019-06-01,"XGBoost",,0
"Ensemble_Median",1,7,2019-06-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,7,2019-06-01,"RW",0.111111111111111,6
"Ensemble_InvRMSE",1,7,2019-06-01,"AR(4)",0.111111111111111,6
"Ensemble_InvRMSE",1,7,2019-06-01,"Ridge",0.111111111111111,6
"Ensemble_InvRMSE",1,7,2019-06-01,"LASSO",0.111111111111111,6
"Ensemble_InvRMSE",1,7,2019-06-01,"ElasticNet",0.111111111111111,6
"Ensemble_InvRMSE",1,7,2019-06-01,"Factor",0.111111111111111,6
"Ensemble_InvRMSE",1,7,2019-06-01,"RandomForest",0.111111111111111,6
"Ensemble_InvRMSE",1,7,2019-06-01,"XGBoost",0.111111111111111,6
"Ensemble_InvRMSE",1,7,2019-06-01,"BorutaRF",0.111111111111111,6
"Ensemble_Mean",1,8,2019-07-01,"RW",0.111111111111111,0
"Ensemble_Mean",1,8,2019-07-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",1,8,2019-07-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",1,8,2019-07-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",1,8,2019-07-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,8,2019-07-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,8,2019-07-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,8,2019-07-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,8,2019-07-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,8,2019-07-01,"RW",,0
"Ensemble_Median",1,8,2019-07-01,"AR(4)",,0
"Ensemble_Median",1,8,2019-07-01,"Ridge",,0
"Ensemble_Median",1,8,2019-07-01,"LASSO",,0
"Ensemble_Median",1,8,2019-07-01,"ElasticNet",,0
"Ensemble_Median",1,8,2019-07-01,"Factor",,0
"Ensemble_Median",1,8,2019-07-01,"RandomForest",,0
"Ensemble_Median",1,8,2019-07-01,"XGBoost",,0
"Ensemble_Median",1,8,2019-07-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,8,2019-07-01,"RW",0.111111111111111,7
"Ensemble_InvRMSE",1,8,2019-07-01,"AR(4)",0.111111111111111,7
"Ensemble_InvRMSE",1,8,2019-07-01,"Ridge",0.111111111111111,7
"Ensemble_InvRMSE",1,8,2019-07-01,"LASSO",0.111111111111111,7
