"track","track_label","horizon","loss","model","model_family","n_evaluation","mean_loss","loss_rank","in_mcs","mcs_rank","mcs_stage_p_value","mcs_p_value","mcs_statistic_value","mcs_detail_status","mcs_output_format","mcs_statistic","alpha","confidence_level","bootstrap_samples","block_length","mcs_package_version","mcs_object_class","mcs_status","status_message"
"monthly_transformed","Target-month transformed change",12,"AE","Ensemble_Median","Ensemble",88,0.00222519743333944,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","Ridge","Regularization",88,0.00222644085949656,2,TRUE,,0.9368,0.9812,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","AR(4)","Baseline",88,0.00223212545862281,3,TRUE,,0.9812,0.9812,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","LASSO","Regularization",88,0.00224872495680157,4,TRUE,,0.8298,0.8328,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","ElasticNet","Regularization",88,0.00225210644104234,5,TRUE,,0.7496,0.8328,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","XGBoost","Boosting",88,0.0022651311952116,6,TRUE,,0.8328,0.8328,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","Ensemble_Mean","Ensemble",88,0.00229869189576126,7,TRUE,,0.568,0.7624,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","Ensemble_InvRMSE","Ensemble",88,0.00230328867064954,8,TRUE,,0.5098,0.5098,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","Factor","Factor",88,0.00232476237238241,9,TRUE,,0.7624,0.7624,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","RandomForest","Tree",88,0.00239507820006155,10,TRUE,,0.3052,0.3052,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","BorutaRF","FeatureSelection+Tree",88,0.00253650543315227,11,FALSE,,0.0258,0.0566,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",12,"AE","RW","Baseline",88,0.00310252040020217,12,FALSE,,0.0566,0.0566,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","AR(4)","Baseline",84,0.519239106376729,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","BorutaRF","FeatureSelection+Tree",84,0.578177760368832,2,TRUE,,0.5528,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","LASSO","Regularization",84,0.578913917930294,3,TRUE,,0.1992,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","Ensemble_Median","Ensemble",84,0.586479060452699,4,TRUE,,0.5454,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","ElasticNet","Regularization",84,0.589777331129877,5,TRUE,,0.4424,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","Ensemble_InvRMSE","Ensemble",84,0.613240657202051,6,TRUE,,0.5272,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","RandomForest","Tree",84,0.615628941415319,7,TRUE,,0.4174,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","XGBoost","Boosting",84,0.623117609356663,8,TRUE,,0.5508,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","Ensemble_Mean","Ensemble",84,0.6247756448918,9,TRUE,,0.2998,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","Ridge","Regularization",84,0.751551015525821,10,TRUE,,0.1478,0.1478,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","Factor","Factor",84,0.807650181645954,11,TRUE,,0.808,0.808,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE","RW","Baseline",84,1.50363898809525,12,FALSE,,4e-04,4e-04,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","AR(4)","Baseline",84,0.520238234849013,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","LASSO","Regularization",84,0.541240493043664,2,TRUE,,0.3678,0.778,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
