"ensemble","horizon","forecast_origin","target_date","member_model","weight","history_count"
"Ensemble_Median",6,2026-05-01,2026-11-01,"LASSO",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"ElasticNet",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"Factor",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"RandomForest",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"XGBoost",,0
"Ensemble_Median",6,2026-05-01,2026-11-01,"BorutaRF",,0
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"RW",0.0747915261036,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"AR(4)",0.120114026008521,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"Ridge",0.0967519803797198,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"LASSO",0.107520896153465,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"ElasticNet",0.108041447280012,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"Factor",0.101047868066935,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"RandomForest",0.127121776751216,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"XGBoost",0.124049675652088,87
"Ensemble_InvRMSE",6,2026-05-01,2026-11-01,"BorutaRF",0.140560803604444,87
"Ensemble_Mean",12,2026-05-01,2027-05-01,"RW",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"Factor",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",12,2026-05-01,2027-05-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"RW",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"AR(4)",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"Ridge",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"LASSO",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"ElasticNet",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"Factor",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"RandomForest",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"XGBoost",,0
"Ensemble_Median",12,2026-05-01,2027-05-01,"BorutaRF",,0
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"RW",0.0684545400536165,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"AR(4)",0.110851357468267,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"Ridge",0.115402016459938,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"LASSO",0.114295756937045,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"ElasticNet",0.113553776651055,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"Factor",0.110863206993912,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"RandomForest",0.123895191989293,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"XGBoost",0.117402085346156,89
"Ensemble_InvRMSE",12,2026-05-01,2027-05-01,"BorutaRF",0.125282068100718,89
