"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"Factor",1,"Factor",84,0.00330240272883407,0.00207043881759191,0.000930574504735082,0.381051591793266,"cumulative_log_change",0.898693597198708,0.582653418407146,0.256894295823049,0.207567995246325,2.56413814844987,0.00330240272883407,0.00207043881759191,0.000930574504735082,0.381051591793266
"RW",1,"Baseline",84,0.00430179229530022,0.00346438448485306,0.00310492766242116,,"cumulative_log_change",1.22622958213185,0.990011904761911,0.896869047619048,0.347263973013961,4.27964491358103,0.00430179229530022,0.00346438448485306,0.00310492766242116,
"BorutaRF",3,"FeatureSelection+Tree",84,0.0064433208477537,0.00468902471198323,0.00191396074501256,0.508469751353178,"cumulative_log_change",1.75984846706945,1.30553957064652,0.533696280011316,0.473107568082288,1.94437858191568,0.0064433208477537,0.00468902471198323,0.00191396074501256,0.508469751353178
"AR(4)",3,"Baseline",84,0.00726831538193706,0.00518329022803552,0.00242115296332578,0.269303887770238,"cumulative_log_change",2.01779318050326,1.45412587826587,0.691576785390779,0.523175783060053,2.15253051359672,0.00726831538193706,0.00518329022803552,0.00242115296332578,0.269303887770238
"RandomForest",3,"Tree",84,0.00747903035907238,0.00533452770058408,0.00291123390986529,0.295264325581217,"cumulative_log_change",2.03656029180382,1.47860332351423,0.808421999780887,0.538071133334846,2.20931202842254,0.00747903035907238,0.00533452770058408,0.00291123390986529,0.295264325581217
"Ensemble_InvRMSE",3,"Ensemble",84,0.00781276964219956,0.00545022653360327,0.00352959417700751,0.242733578273166,"cumulative_log_change",2.15144949138232,1.52297571504315,0.995826964762105,0.549843152783357,2.25892639820019,0.00781276964219956,0.00545022653360327,0.00352959417700751,0.242733578273166
"Ensemble_Median",3,"Ensemble",84,0.00777271559990112,0.00540032733256516,0.00324961730992396,0.172677712755978,"cumulative_log_change",2.15225375607932,1.51126148577995,0.919361664928317,0.544959938869067,2.24066311401146,0.00777271559990112,0.00540032733256516,0.00324961730992396,0.172677712755978
"Ensemble_Mean",3,"Ensemble",84,0.00785133297545512,0.00548007289380634,0.00365472729347355,0.246213407616081,"cumulative_log_change",2.16526242782481,1.53266087770282,1.03413745556475,0.55285983529412,2.27138150827788,0.00785133297545512,0.00548007289380634,0.00365472729347355,0.246213407616081
"XGBoost",3,"Boosting",84,0.00796017821264364,0.00563006211269487,0.00342520531395202,0.102022591084583,"cumulative_log_change",2.19808402782424,1.5710017107082,0.966556971977084,0.568006510676346,2.33373534689153,0.00796017821264364,0.00563006211269487,0.00342520531395202,0.102022591084583
"LASSO",3,"Regularization",84,0.00820119560769541,0.00560227929970449,0.00351216109281426,0.182153285947627,"cumulative_log_change",2.25603825947247,1.56432333842216,0.990593407762612,0.564990911714304,2.31893623783415,0.00820119560769541,0.00560227929970449,0.00351216109281426,0.182153285947627
"ElasticNet",3,"Regularization",84,0.00821432343972542,0.00559598765260385,0.00349320517605829,0.17415402198215,"cumulative_log_change",2.2597773903637,1.56267507899631,0.985085608613296,0.564369794216829,2.31655021378301,0.00821432343972542,0.00559598765260385,0.00349320517605829,0.17415402198215
"Ridge",3,"Regularization",84,0.00888005358753234,0.00588726206131821,0.00372816546298153,0.108970292022891,"cumulative_log_change",2.41425384942917,1.63360641750377,1.03903391813119,0.593177293647593,2.42803785875842,0.00888005358753234,0.00588726206131821,0.00372816546298153,0.108970292022891
"Factor",3,"Factor",84,0.00929209913529435,0.00590562101970887,0.00253906420601851,0.137725252170297,"cumulative_log_change",2.49356215852273,1.63725810049573,0.712017034361407,0.594716780418071,2.43128131329999,0.00929209913529435,0.00590562101970887,0.00253906420601851,0.137725252170297
"RW",3,"Baseline",84,0.0114290471539246,0.00971980291167289,0.00894839677123371,,"cumulative_log_change",3.23578788337408,2.76665476190476,2.56803571428571,0.97813741199343,3.98823287504888,0.0114290471539246,0.00971980291167289,0.00894839677123371,
"BorutaRF",6,"FeatureSelection+Tree",87,0.0113966608757405,0.0077379408262403,0.00321392432908882,0.407396722942362,"cumulative_log_change",3.13333054935721,2.14892123786839,0.89838349097546,0.789189016626974,1.60998650937524,0.0113966608757405,0.0077379408262403,0.00321392432908882,0.407396722942362
"RandomForest",6,"Tree",87,0.012601490099029,0.00838849129003419,0.00477765805040053,0.251613570105214,"cumulative_log_change",3.47811807938982,2.32917333236368,1.34010730825743,0.855353201095404,1.74458238040426,0.012601490099029,0.00838849129003419,0.00477765805040053,0.251613570105214
"XGBoost",6,"Boosting",87,0.0129135671067307,0.0085605691844252,0.00563209730379568,0.23572872520487,"cumulative_log_change",3.60376899199442,2.39779771952375,1.59845674252818,0.8733218406046,1.78207203992596,0.0129135671067307,0.0085605691844252,0.00563209730379568,0.23572872520487
"AR(4)",6,"Baseline",87,0.0133366923442211,0.00901285896415992,0.00532798885229867,-0.0640513088577413,"cumulative_log_change",3.73165693711294,2.53188507483802,1.5346491280217,0.919230005720312,1.87526608712092,0.0133366923442211,0.00901285896415992,0.00532798885229867,-0.0640513088577413
"Ensemble_Median",6,"Ensemble",87,0.0135052154252457,0.00888047232986869,0.00603320912337062,0.0706491452821998,"cumulative_log_change",3.76913864355917,2.48618640995011,1.71611001112529,0.905611431501722,1.84725887183297,0.0135052154252457,0.00888047232986869,0.00603320912337062,0.0706491452821998
"Ensemble_InvRMSE",6,"Ensemble",87,0.0138137462008811,0.00915403292131662,0.00651788292646435,0.130860968466469,"cumulative_log_change",3.83011202661499,2.56147870251696,1.85167433739694,0.932784264056645,1.90124482648547,0.0138137462008811,0.00915403292131662,0.00651788292646435,0.130860968466469
"Ensemble_Mean",6,"Ensemble",87,0.0138729968420321,0.00927775917442033,0.0068371005882596,0.14351465469824,"cumulative_log_change",3.85495754729192,2.60207398158985,1.94855708706403,0.945371343279092,1.92685185422352,0.0138729968420321,0.00927775917442033,0.0068371005882596,0.14351465469824
"ElasticNet",6,"Regularization",87,0.0148269377302,0.00970591960974778,0.00657594934534777,0.057821049980024,"cumulative_log_change",4.08783660639642,2.70348628856456,1.8590294368774,0.988168208023838,2.01245650647864,0.0148269377302,0.00970591960974778,0.00657594934534777,0.057821049980024
"LASSO",6,"Regularization",87,0.0148987207920495,0.00973496553343921,0.0066553913816061,0.0584831408058985,"cumulative_log_change",4.10421697480789,2.71182402709935,1.88105034010242,0.990961654725578,2.01782427894962,0.0148987207920495,0.00973496553343921,0.0066553913816061,0.0584831408058985
"Factor",6,"Factor",87,0.0158531183462504,0.010107889320915,0.00501009815813866,0.0106827486651371,"cumulative_log_change",4.31244618584925,2.80116387232106,1.42730385620269,1.02784138077274,2.09092931670332,0.0158531183462504,0.010107889320915,0.00501009815813866,0.0106827486651371
"Ridge",6,"Regularization",87,0.0165570131465463,0.0103455581272056,0.00657093398895351,0.0555015091796102,"cumulative_log_change",4.48950185842191,2.86307387751972,1.84620574440839,1.05145759223674,2.13788051714001,0.0165570131465463,0.0103455581272056,0.00657093398895351,0.0555015091796102
"RW",6,"Baseline",87,0.0214185201794446,0.0182668206732216,0.0177698638847066,,"cumulative_log_change",6.10024081680293,5.23471264367817,5.1068275862069,1.84971294655849,3.74648305612372,0.0214185201794446,0.0182668206732216,0.0177698638847066,
"BorutaRF",12,"FeatureSelection+Tree",89,0.0225132879864819,0.015378810494245,0.00638100229472831,0.177693753527736,"cumulative_log_change",6.36125155681441,4.37962997012916,1.7480186947542,1.60297079051535,1.60297079051535,0.0225132879864819,0.015378810494245,0.00638100229472831,0.177693753527736
"RandomForest",12,"Tree",89,0.0227653005205986,0.0150146006534091,0.00782309543873905,0.152610136619528,"cumulative_log_change",6.41879940303847,4.25338874324758,2.18940126911161,1.56486001043497,1.56486001043497,0.0227653005205986,0.0150146006534091,0.00782309543873905,0.152610136619528
"XGBoost",12,"Boosting",89,0.0240243712058208,0.0160280319079737,0.0110069830298867,0.128022658827788,"cumulative_log_change",6.80157472922401,4.55538488236331,3.11305968196617,1.66912284601382,1.66912284601382,0.0240243712058208,0.0160280319079737,0.0110069830298867,0.128022658827788
"Ensemble_InvRMSE",12,"Ensemble",89,0.0242829107880734,0.0153723654911798,0.0122453332465662,0.178526511594198,"cumulative_log_change",6.86206111735843,4.35422908122818,3.50151700873346,1.60106621011543,1.60106621011543,0.0242829107880734,0.0153723654911798,0.0122453332465662,0.178526511594198
"Ridge",12,"Regularization",89,0.0244407451898611,0.0151403470397797,0.0116544826959932,0.157259835417588,"cumulative_log_change",6.88267206424912,4.27622323086236,3.33201480656018,1.57535590950071,1.57535590950071,0.0244407451898611,0.0151403470397797,0.0116544826959932,0.157259835417588
"Ensemble_Median",12,"Ensemble",89,0.0245909627880635,0.0159991499115558,0.0118403879945531,0.0501787101145261,"cumulative_log_change",6.94244508596765,4.52216033879654,3.38811446910483,1.66525192265747,1.66525192265747,0.0245909627880635,0.0159991499115558,0.0118403879945531,0.0501787101145261
"LASSO",12,"Regularization",89,0.0246773052148126,0.0164337948983435,0.0118774398916999,0.166491266411709,"cumulative_log_change",6.97848778406592,4.66129620292289,3.39154695050046,1.70877099398036,1.70877099398036,0.0246773052148126,0.0164337948983435,0.0118774398916999,0.166491266411709
"ElasticNet",12,"Regularization",89,0.0248385510537513,0.0164360828609378,0.0120768377089482,0.161220623709736,"cumulative_log_change",7.01706127200723,4.65933118522618,3.4450113693515,1.70858017108435,1.70858017108435,0.0248385510537513,0.0164360828609378,0.0120768377089482,0.161220623709736
"Ensemble_Mean",12,"Ensemble",89,0.0248813382482751,0.015883178246679,0.0131291809054564,0.13931923198408,"cumulative_log_change",7.03170974177062,4.5045216272359,3.76345734926057,1.65342390105794,1.65342390105794,0.0248813382482751,0.015883178246679,0.0131291809054564,0.13931923198408
"Factor",12,"Factor",89,0.0254413646797028,0.0168380362154614,0.0105197541393027,-0.04669961312103,"cumulative_log_change",7.13779073602064,4.72978132997202,3.05101195330769,1.7485315757129,1.7485315757129,0.0254413646797028,0.0168380362154614,0.0105197541393027,-0.04669961312103
"AR(4)",12,"Baseline",89,0.0254440842503974,0.0171309526462754,0.0115333015589407,-0.491055267770806,"cumulative_log_change",7.19542342639481,4.84118622845657,3.36307196816581,1.78139224179174,1.78139224179174,0.0254440842503974,0.0171309526462754,0.0115333015589407,-0.491055267770806
"RW",12,"Baseline",89,0.041202691252974,0.0352897313908688,0.0352897313908688,,"cumulative_log_change",11.7568826344784,10.116404494382,10.116404494382,3.61556134790719,3.61556134790719,0.041202691252974,0.0352897313908688,0.0352897313908688,
